rikishi1,odds1,rikishi2,odds2,ts,basho
Tochiozan,1.87,Shodai,1.93,2017-05-17T12:00:01Z,2017-05
Tokushoryu,2.2,Kaisei,1.67,2017-05-17T12:00:01Z,2017-05
Toyohibiki,1.68,Chiyotairyu,2.19,2017-05-17T12:00:01Z,2017-05
Ura,1.78,Kotoyuki,2.04,2017-05-17T12:00:01Z,2017-05
Kisenosato,1.39,Chiyoshoma,3,2017-05-17T13:00:01Z,2017-05
Tamawashi,2.22,Yoshikaze,1.66,2017-05-17T13:00:01Z,2017-05
Tamawashi,2.28,Yoshikaze,1.63,2017-05-17T15:00:01Z,2017-05
Takayasu,1.45,Endo,2.76,2017-05-17T16:00:01Z,2017-05
Tamawashi,2.34,Yoshikaze,1.6,2017-05-17T17:00:02Z,2017-05
Terunofuji,1.55,Kotoshogiku,2.45,2017-05-17T20:00:01Z,2017-05
Arawashi,1.94,Ishiura,1.86,2017-05-17T21:00:02Z,2017-05
Goeido,1.42,Chiyonokuni,2.88,2017-05-17T21:00:02Z,2017-05
Ichinojo,1.47,Kagayaki,2.7,2017-05-17T21:00:02Z,2017-05
Terunofuji,1.56,Kotoshogiku,2.44,2017-05-17T21:00:02Z,2017-05
Hokutofuji,1.95238095238095,Takakeisho,1.85,2017-05-17T23:00:01Z,2017-05
Ichinojo,1.45,Kagayaki,2.76,2017-05-17T23:00:01Z,2017-05
Myogiryu,1.8,Onosho,2.01,2017-05-17T23:00:01Z,2017-05
Terunofuji,1.7,Kotoshogiku,2.16,2017-05-17T23:00:01Z,2017-05
Tokushoryu,2.24,Kaisei,1.65,2017-05-17T23:00:01Z,2017-05
Toyohibiki,1.72,Chiyotairyu,2.12,2017-05-17T23:00:01Z,2017-05
Ura,1.75,Kotoyuki,2.08,2017-05-17T23:00:01Z,2017-05
Kakuryu,1.31,Okinoumi,3.46,2017-05-18T00:00:01Z,2017-05
Tamawashi,2.29,Yoshikaze,1.63,2017-05-18T00:00:01Z,2017-05
Terunofuji,1.82,Kotoshogiku,1.99,2017-05-18T00:00:01Z,2017-05
Ura,1.71,Kotoyuki,2.14,2017-05-18T00:00:01Z,2017-05
Hakuho,1.28,Mitakeumi,3.68,2017-05-18T04:00:02Z,2017-05
Harumafuji,1.125,Daieisho,6.1,2017-05-18T04:00:02Z,2017-05
Kisenosato,1.37,Chiyoshoma,3.1,2017-05-18T04:00:02Z,2017-05
Takayasu,1.41,Endo,2.91,2017-05-18T04:00:02Z,2017-05
Myogiryu,1.79,Onosho,2.02,2017-05-18T05:00:01Z,2017-05
Ura,1.68,Kotoyuki,2.19,2017-05-18T05:00:01Z,2017-05
Arawashi,1.99,Ishiura,1.82,2017-05-18T06:00:01Z,2017-05
Daishomaru,1.68,Yutakayama,2.19,2017-05-18T06:00:01Z,2017-05
Kakuryu,1.31,Okinoumi,3.46,2017-05-18T06:00:01Z,2017-05
Myogiryu,1.77,Onosho,2.05,2017-05-18T06:00:01Z,2017-05
Ura,1.65,Kotoyuki,2.24,2017-05-18T06:00:01Z,2017-05
Hakuho,1.27,Mitakeumi,3.78,2017-05-18T07:00:01Z,2017-05
Kisenosato,1.36,Chiyoshoma,3.15,2017-05-18T07:00:01Z,2017-05
Arawashi,1.99,Ishiura,1.82,2017-05-18T08:00:01Z,2017-05
Daishomaru,1.68,Yutakayama,2.19,2017-05-18T08:00:01Z,2017-05
Goeido,1.42,Chiyonokuni,2.88,2017-05-18T08:00:01Z,2017-05
Hakuho,1.24,Mitakeumi,4.05,2017-05-18T08:00:01Z,2017-05
Harumafuji,1.125,Daieisho,6.1,2017-05-18T08:00:01Z,2017-05
Hokutofuji,1.95238095238095,Takakeisho,1.85,2017-05-18T08:00:01Z,2017-05
Ichinojo,1.45,Kagayaki,2.76,2017-05-18T08:00:01Z,2017-05
Ikioi,1.5,Aoiyama,2.59,2017-05-18T08:00:01Z,2017-05
Kisenosato,1.32,Chiyoshoma,3.38,2017-05-18T08:00:01Z,2017-05
Myogiryu,1.77,Onosho,2.05,2017-05-18T08:00:01Z,2017-05
Takanoiwa,1.6,Shohozan,2.34,2017-05-18T08:00:01Z,2017-05
Takarafuji,1.8,Takekaze,2.01,2017-05-18T08:00:01Z,2017-05
Takayasu,1.41,Endo,2.91,2017-05-18T08:00:01Z,2017-05
Tamawashi,2.29,Yoshikaze,1.63,2017-05-18T08:00:01Z,2017-05
Terunofuji,1.9,Kotoshogiku,1.9,2017-05-18T08:00:01Z,2017-05
Tochiozan,1.87,Shodai,1.93,2017-05-18T08:00:01Z,2017-05
Tokushoryu,2.24,Kaisei,1.65,2017-05-18T08:00:01Z,2017-05
Toyohibiki,1.72,Chiyotairyu,2.12,2017-05-18T08:00:01Z,2017-05
Ura,1.65,Kotoyuki,2.24,2017-05-18T08:00:01Z,2017-05
Arawashi,2.15,Kaisei,1.7,2017-05-18T12:00:01Z,2017-05
Daishomaru,1.6,Toyohibiki,2.34,2017-05-18T12:00:01Z,2017-05
Goeido,1.65,Mitakeumi,2.24,2017-05-18T12:00:01Z,2017-05
Hakuho,1.125,Endo,6.1,2017-05-18T12:00:01Z,2017-05
Harumafuji,1.13333333333333,Aoiyama,5.9,2017-05-18T12:00:01Z,2017-05
Ichinojo,1.92,Ura,1.88,2017-05-18T12:00:01Z,2017-05
Ikioi,1.82,Takekaze,1.99,2017-05-18T12:00:01Z,2017-05
Ishiura,1.85,Myogiryu,1.95238095238095,2017-05-18T12:00:01Z,2017-05
Kagayaki,1.8,Takakeisho,2.01,2017-05-18T12:00:01Z,2017-05
Kisenosato,1.28,Daieisho,3.68,2017-05-18T12:00:01Z,2017-05
Kotoshogiku,1.48,Yoshikaze,2.65,2017-05-18T12:00:01Z,2017-05
Kotoyuki,1.7,Onosho,2.15,2017-05-18T12:00:01Z,2017-05
Okinoumi,2.04,Takarafuji,1.78,2017-05-18T12:00:01Z,2017-05
Shodai,1.6,Takanoiwa,2.34,2017-05-18T12:00:01Z,2017-05
Sokokurai,1.8,Hokutofuji,2.01,2017-05-18T12:00:01Z,2017-05
Takayasu,1.49,Tamawashi,2.625,2017-05-18T12:00:01Z,2017-05
Terunofuji,1.45,Chiyonokuni,2.76,2017-05-18T12:00:01Z,2017-05
Tochiozan,1.55,Chiyoshoma,2.47,2017-05-18T12:00:01Z,2017-05
Tokushoryu,1.8,Chiyotairyu,2.01,2017-05-18T12:00:01Z,2017-05
Yutakayama,1.9,Sadanoumi,1.9,2017-05-18T12:00:01Z,2017-05
Goeido,1.83333333333333,Mitakeumi,1.97,2017-05-18T13:00:01Z,2017-05
Takayasu,1.45,Tamawashi,2.76,2017-05-18T13:00:01Z,2017-05
Hakuho,1.15,Endo,5.5,2017-05-18T15:00:01Z,2017-05
Harumafuji,1.125,Aoiyama,6.1,2017-05-18T16:00:01Z,2017-05
Takayasu,1.42,Tamawashi,2.875,2017-05-18T16:00:01Z,2017-05
Kotoshogiku,1.52,Yoshikaze,2.53,2017-05-18T21:00:02Z,2017-05
Kotoyuki,1.77,Onosho,2.05,2017-05-18T21:00:02Z,2017-05
Tochiozan,1.6,Chiyoshoma,2.35,2017-05-18T21:00:02Z,2017-05
Kisenosato,1.27,Daieisho,3.78,2017-05-19T03:00:01Z,2017-05
Takayasu,1.39,Tamawashi,3,2017-05-19T03:00:01Z,2017-05
Terunofuji,1.44444444444444,Chiyonokuni,2.78,2017-05-19T03:00:01Z,2017-05
Ishiura,1.82,Myogiryu,1.99,2017-05-19T06:00:01Z,2017-05
Kagayaki,1.84,Takakeisho,1.96,2017-05-19T06:00:01Z,2017-05
Sokokurai,1.83333333333333,Hokutofuji,1.97,2017-05-19T06:00:01Z,2017-05
Ikioi,1.79,Takekaze,2.02,2017-05-19T07:00:01Z,2017-05
Arawashi,2.15,Kaisei,1.7,2017-05-19T08:00:01Z,2017-05
